Signal Id,Signal Name,Signal Role,Interface Type,Abbreviation,Interfacing Equipment,Signal Owner,Repeated Per,Same quantity as,Computed from,Connection Type,Unit,Functional Minimum,Functional Maximum,Notes,On aircraft ?,On FND ?,On Sim ?
SIG-148,HVDC Assembly State of Power - Discharge,Computed,Digital,SOP_HVDC_DIS,,MBMS,,,SIG-143,,,,,"Discharge power the assembly can deliver, consolidated from the connected packs. Primary energy input to the FCC power-management function.",Yes,TBD,TBD
SIG-149,HVDC Assembly Number of Packs Connected,Computed,Digital,N_PACK_CONN,,MBMS,,,SIG-065,,,,,"Count of packs whose contactor is closed, from the twelve pack contactor status reports. Range 0 to 12.",Yes,TBD,TBD
SIG-150,HVDC Assembly Maximum Pack Temperature,Computed,Digital,T_HVDC_MAX,,MBMS,,,SIG-136,,,,,"Hottest pack in the assembly, from the twelve pack maximum temperatures; drives BTMS demand and discharge derating.",Yes,TBD,TBD
SIG-151,HVDC Assembly Minimum Pack Temperature,Computed,Digital,T_HVDC_MIN,,MBMS,,,SIG-137,,,,,"Coldest pack in the assembly, from the twelve pack minimum temperatures; drives pre-conditioning and charge limiting.",Yes,TBD,TBD
SIG-152,HVDC Assembly Failure / Fault Word,Computed,Digital,HVDC_FAULT,,MBMS,,,SIG-144,,,,,"Assembly fault summary consolidated by the MBMS from the twelve pack failure flags and its own monitoring, so that a pack failure is visible to HICU and avionics without carrying the twelve individual flags.",Yes,TBD,TBD
SIG-153,HVDC Assembly On Command,Request,Digital,HVDC_ON_CMD,MBMS,HICU,,,,Digital command,,,,Assembly-level connect / disconnect request from the HICU to the MBMS. The MBMS holds authority over which packs are connected and issues the individual pack contactor commands itself.,Yes,TBD,TBD
SIG-154,Total Propulsion Power Command,Computed,Digital,P_PROP_CMD_TOT,,FCC,,,SIG-108,,,,,Aircraft-level commanded figure for crew display and maintenance recording. Sum of the per-nacelle power allocations SIG-108 across the four nacelles.,Yes,TBD,TBD
SIG-155,Total Propulsion Power Actual,Computed,Digital,P_PROP_ACT_TOT,,FCC,,,SIG-110,,,,,"Aircraft-level achieved figure, displayed against the commanded value. Sum of the achieved nacelle power reported through SIG-110 across the four nacelles.",Yes,TBD,TBD
SIG-156,Weather Environmental Conditions,Computed,Digital,WX_ENV,,WXR,,,SIG-117,,,,,Weather part of the environmental picture only; the air data part is a separate signal owned by the ADC. Weather picture produced by the weather radar.,Yes,TBD,TBD
SIG-157,FMS Present Position Latitude,Computed,Digital,FMS_LAT,,FMS,,,,,deg,,,Blended navigation position computed by the FMS from the inertial and air data sources.,Yes,TBD,TBD
SIG-158,FMS Present Position Longitude,Computed,Digital,FMS_LON,,FMS,,,,,deg,,,Blended navigation position computed by the FMS from the inertial and air data sources.,Yes,TBD,TBD
SIG-159,FMS Ground Speed,Computed,Digital,FMS_GS,,FMS,,,SIG-066,,kt,,,Ground speed of the blended navigation solution.,Yes,TBD,TBD
SIG-160,FMS Track Angle True,Computed,Digital,FMS_TK,,FMS,,,,,deg,,,True track angle of the blended navigation solution.,Yes,TBD,TBD
SIG-161,FMS Wind Speed,Computed,Digital,FMS_WS,,FMS,,,SIG-117,,kt,,,Wind solution derived by the FMS from the air data and inertial velocity difference.,Yes,TBD,TBD
SIG-162,FMS Wind Direction,Computed,Digital,FMS_WD,,FMS,,,SIG-117,,deg,,,Wind solution derived by the FMS from the air data and inertial velocity difference.,Yes,TBD,TBD
SIG-163,FMS Desired Track,Computed,Digital,FMS_DTK,,FMS,,,,,deg,,,Track the aircraft should follow on the active flight plan leg.,Yes,TBD,TBD
SIG-164,FMS Cross Track Distance,Computed,Digital,FMS_XTK,,FMS,,,,,NM,,,Lateral deviation of the aircraft from the active leg; sign convention to be defined.,Yes,TBD,TBD
SIG-165,FMS Vertical Deviation,Computed,Digital,FMS_VDEV,,FMS,,,,,ft,,,Deviation of the aircraft from the vertical profile; sign convention to be defined.,Yes,TBD,TBD
SIG-166,FMS Roll Steering Command,Computed,Digital,FMS_ROLL_CMD,,FMS,,,SIG-163;SIG-164,,deg,,,Consumed by the FCC for lateral guidance. Integrity and authority of this path are to be defined. Lateral steering command generated by the FMS to capture and hold the active leg.,Yes,TBD,TBD
SIG-167,FMS Active Waypoint Bearing,Computed,Digital,FMS_WPT_BRG,,FMS,,,SIG-168,,deg,,,Great-circle bearing from present position to the active waypoint.,Yes,TBD,TBD
SIG-168,FMS Distance to Go,Computed,Digital,FMS_DTG,,FMS,,,,,NM,,,Distance from present position to the active waypoint.,Yes,TBD,TBD
SIG-169,FMS Time to Go,Computed,Digital,FMS_TTG,,FMS,,,,,min,,,Estimated time from present position to the active waypoint.,Yes,TBD,TBD
SIG-170,FMS Active Waypoint Identifier,Computed,Digital,FMS_WPT_ID,,FMS,,,,,,,,"Identifier of the waypoint the aircraft is currently navigating to. Character data, not a numeric value.",Yes,TBD,TBD
SIG-171,FMS UTC,Computed,Digital,FMS_UTC,,FMS,,,,,hh:mm:ss,,,Coordinated universal time maintained by the FMS and used as the common time reference for the avionics.,Yes,TBD,TBD
SIG-172,FMS Target Altitude,Computed,Digital,FMS_ALT_TGT,,FMS,,,,,ft,,,Altitude target of the active vertical flight plan segment.,Yes,TBD,TBD
SIG-173,FMS Target Airspeed,Computed,Digital,FMS_SPD_TGT,,FMS,,,,,kt,,,Airspeed target of the active flight plan segment.,Yes,TBD,TBD
SIG-174,FMS Status and Fault Word,Computed,Digital,FMS_STATUS,,FMS,,,,,,,,"FMS operating mode, navigation validity and internal fault summary.",Yes,TBD,TBD
SIG-175,Pack Isolation Request,Request,Digital,PACK_ISOL_REQ,MBMS,HICU,,,,Digital command,,,,"Top-level request from the HICU to the MBMS to isolate a pack, carrying the target pack in the payload. The MBMS retains authority over the means and fires the hardwired contactor and pyrofuse discretes itself, with or without this request. Distinct from the assembly connect / disconnect request.",Yes,TBD,TBD
SIG-176,Electric Motor Command (HICU to EMC),Request,Digital,EM_Cmd,EMC,HICU,NAC;EM,,SIG-067,Digital setpoint command (mode-dependent),,,,Final HICU-to-EMC command. OEM field fcc_cmd.command. Distinct from the aircraft-level FCC target. Computed by HICU from FCC motor target (SIG-067).,Yes,TBD,TBD
SIG-177,Electric Motor Speed (MON),Measurement,Digital,EM_RPM_MON,EMC,EMC,NAC;EM,SIG-004,,CAN MON motor status,RPM,-16384,16383.5,MON-lane counterpart of the CON-lane speed.,Yes,TBD,TBD
SIG-178,EMC CON HVDC Voltage,Measurement,Digital,EMC_HV_V_CON,EMC,EMC,NAC;EM,SIG-003;SIG-033;SIG-180,,CAN CON inverter status,Vdc,-1638.4,1638.35,EPU-channel HVDC voltage. OEM label con_hvdc_volt. Distinct from the HVPDU bus voltage.,Yes,TBD,TBD
SIG-179,EMC CON HVDC Current,Measurement,Digital,EMC_HV_I_CON,EMC,EMC,NAC;EM,SIG-032,,CAN CON inverter status,A,-32768,32767,EPU-channel HVDC current. OEM label con_hvdc_curr. Distinct from the HVPDU bus current.,Yes,TBD,TBD
SIG-180,EMC MON HVDC Voltage,Measurement,Digital,EMC_HV_V_MON,EMC,EMC,NAC;EM,SIG-003;SIG-033;SIG-178,,CAN MON inverter status,Vdc,-1638.4,1638.35,MON-lane HVDC voltage. OEM label mon_hvdc_volt.,Yes,TBD,TBD
SIG-181,EMC MON HVDC Current,Measurement,Digital,EMC_HV_I_MON,EMC,EMC,NAC;EM,,,CAN MON inverter status,Adc,-655.36,655.34,MON-lane HVDC current. OEM label mon_hvdc_curr.,Yes,TBD,TBD
SIG-182,EMC CON Torque Estimate,Measurement,Digital,EM_TqEst_CON,EMC,EMC,NAC;EM,SIG-001,,CAN CON motor status,Nm,-1638.4,1638.35,OEM label con_torque_est. Distinct from the gearbox torque probe.,Yes,TBD,TBD
SIG-183,EMC CON Setpoint Echo,Measurement,Digital,EM_CmdEcho_CON,EMC,EMC,NAC;EM,,,CAN CON motor status,,,,OEM label con_setpoint. Echo of the HICU motor command; scale is mode-dependent.,Yes,TBD,TBD
SIG-184,EMC MON Setpoint Echo,Measurement,Digital,EM_CmdEcho_MON,EMC,EMC,NAC;EM,,,CAN MON motor status,,,,OEM label mon_setpoint. MON-lane echo.,Yes,TBD,TBD
SIG-185,EMC MON Stator Temperature,Measurement,Digital,EM_T_STATOR_MON,EMC,EMC,NAC;EM,,,CAN MON vitals,deg C,-40,215,OEM label mon_stator_temp.,Yes,TBD,TBD
SIG-186,EMC MON Coolant Inlet Temperature,Measurement,Digital,EM_T_COOL_MON,EMC,EMC,NAC;EM,,,CAN MON vitals,deg C,-40,215,OEM label mon_coolant_temp. Distinct from the IPTMS motor outlet temperature.,Yes,TBD,TBD
SIG-187,EMC MON Board Temperature,Measurement,Digital,EMC_T_CMB_MON,EMC,EMC,NAC;EM,,,CAN MON vitals,deg C,-40,215,OEM label mon_cmb_temp.,TBD,TBD,TBD
SIG-188,EMC CON MCU State,Measurement,Digital,EMC_MCU_STATE,EMC,EMC,NAC;EM,,,CAN CON inverter status,,,,OEM label con_mcu_state.,Yes,TBD,TBD
SIG-189,EMC CON Control Mode Feedback,Measurement,Digital,EMC_CTRL_MODE_FB,EMC,EMC,NAC;EM,,,CAN CON inverter status,,,,OEM label con_ctrl_mode.,Yes,TBD,TBD
SIG-190,EMC CON Control Level Feedback,Measurement,Digital,EMC_CTRL_LVL_FB,EMC,EMC,NAC;EM,,,CAN CON inverter status,,,,OEM label con_ctrl_level_cmd.,Yes,TBD,TBD
SIG-191,EMC CON Discrete Disable Status,Measurement,Digital,EMC_DIS_DIS_CON,EMC,EMC,NAC;EM,,,CAN CON vitals,,,,OEM label con_discrete_disable.,Yes,TBD,TBD
SIG-192,EMC CON Freshness Counter,Measurement,Digital,EMC_FRESH_CON,EMC,EMC,NAC;EM,,,CAN protocol,,,,Mirrors the HICU freshness counter on the CON frames.,Yes,TBD,TBD
SIG-193,EMC MON Freshness Counter,Measurement,Digital,EMC_FRESH_MON,EMC,EMC,NAC;EM,,,CAN protocol,,,,Mirrors the HICU freshness counter on the MON frames.,Yes,TBD,TBD
SIG-194,EMC CON Message CRC,Measurement,Digital,EMC_CRC_CON,EMC,EMC,NAC;EM,,,CAN protocol,,,,CON frame CRC.,Yes,TBD,TBD
SIG-195,EMC MON Message CRC,Measurement,Digital,EMC_CRC_MON,EMC,EMC,NAC;EM,,,CAN protocol,,,,MON frame CRC.,Yes,TBD,TBD
SIG-196,EMC CON EPU Location ID,Measurement,Digital,EMC_EPU_ID_CON,EMC,EMC,NAC;EM,,,CAN CON config,,,,OEM label con_epu_location_id.,Yes,TBD,TBD
SIG-197,EMC CON Software Version,Measurement,Digital,EMC_SW_CON,EMC,EMC,NAC;EM,,,CAN CON config,,,,OEM label con_sw_ver.,Yes,TBD,TBD
SIG-198,EMC MON EPU Location ID,Measurement,Digital,EMC_EPU_ID_MON,EMC,EMC,NAC;EM,,,CAN MON config,,,,OEM label mon_epu_location_id.,Yes,TBD,TBD
SIG-199,EMC MON Software Version,Measurement,Digital,EMC_SW_MON,EMC,EMC,NAC;EM,,,CAN MON config,,,,OEM label mon_sw_ver.,Yes,TBD,TBD
SIG-200,EMC CON Inverter Retry Count,Measurement,Digital,EMC_INV_RETRY,EMC,EMC,NAC;EM,,,CAN CON vitals,,,,OEM label con_inverter_retry_cnt.,Yes,TBD,TBD
SIG-201,EMC CAN Spare Field,Measurement,Digital,EMC_CAN_SPARE,EMC,EMC,NAC;EM,,,CAN protocol,,,,Placeholder for OEM spare bit fields.,No,TBD,TBD
SIG-202,HICU Freshness Counter to EMC,Request,Digital,HICU_FRESH_EMC,EMC,HICU,NAC;EM,,,CAN protocol,,,,OEM label fcc_freshness on the fcc_cmd frame.,Yes,TBD,TBD
SIG-203,EPU Enable Command,Request,Digital,EPU_EN,EMC,HICU,NAC;EM,,,CAN command,,,,OEM label epu_en on the fcc_cmd frame. Motor/EPU engagement enable computed by HICU.,Yes,TBD,TBD
SIG-204,HVDC Ready Set Command,Request,Digital,HV_SET,EMC,HICU,NAC;EM,,,CAN command,,,,OEM label hv_set on the fcc_cmd frame. HICU indicates HVDC ready for subsequent EMC states.,Yes,TBD,TBD
SIG-205,EMC Fault Reset Command,Request,Digital,EMC_FLT_RST,EMC,HICU,NAC;EM,,,CAN command,,,,OEM label fault_reset_cmd. HICU request to reset latched EMC faults.,Yes,TBD,TBD
SIG-206,EMC Critical Monitor Override,Request,Digital,EMC_OVRD,EMC,HICU,NAC;EM,,,CAN command,,,,OEM label override. HICU request to override critical EMC monitors.,Yes,TBD,TBD
SIG-207,Weight on Wheels,Computed,Digital,WOW,HICU,FCC,,,,Digital status,,,,OEM label wow_status. Weight-on-wheels state computed by FCC.,Yes,TBD,TBD
SIG-208,EMC Control Mode Command,Request,Digital,EMC_CTRL_MODE,EMC,HICU,NAC;EM,,,CAN command,,,,OEM label ctrl_mode on the fcc_cmd frame. Control mode selected by HICU for EMC.,Yes,TBD,TBD
SIG-209,EMC Control Level Command,Request,Digital,EMC_CTRL_LVL,EMC,HICU,NAC;EM,,,CAN command,,,,OEM label ctrl_level_cmd. MCU vs EPU level selected by HICU.,Yes,TBD,TBD
SIG-210,Charging Current Limit to EMC,Request,Digital,CHG_I_LIM_EMC,EMC,HICU,NAC;EM,,SIG-213,CAN command,A,-1000,638.3,OEM label charging_curr_lim on the fcc_cmd frame; sourced from the MBMS limits message. HICU forwards MBMS charging limit onto fcc_cmd.,Yes,TBD,TBD
SIG-211,EMC Voltage / Current Command,Request,Digital,EMC_VI_CMD,EMC,HICU,NAC;EM,,SIG-214,CAN command,,,,OEM label volt_curr_command on the fcc_cmd frame; sourced from the MBMS limits message. HICU applies MBMS V/I setpoint on fcc_cmd when ctrl_mode is V or I.,Yes,TBD,TBD
SIG-212,HICU Message CRC to EMC,Request,Digital,HICU_CRC_EMC,EMC,HICU,NAC;EM,,,CAN protocol,,,,OEM label fcc_crc.,Yes,TBD,TBD
SIG-213,Charging Current Limit (MBMS to HICU),Request,Digital,CHG_I_LIM_MBMS,HICU,MBMS,NAC,,,CAN MBMS limits message,A,-1000,638.3,"OEM label mbms_ess_lim, same encoding as the fcc_cmd field. Distinct from the HICU-to-EMC command. Charging current limit computed by MBMS.",Yes,TBD,TBD
SIG-214,Voltage / Current Setpoint (MBMS to HICU),Request,Digital,VI_SET_MBMS,HICU,MBMS,NAC;EM,,,CAN MBMS limits message,,,,Distinct from the HICU-to-EMC voltage / current command. V/I setpoint from MBMS to HICU.,Yes,TBD,TBD
SIG-215,MBMS Limits Message CRC,Measurement,Digital,MBMS_LIM_CRC,HICU,MBMS,NAC,,,CAN protocol,,,,CRC on the MBMS limits message.,Yes,TBD,TBD
SIG-216,Propeller Heating Request,Request,Digital,PROP_HEAT_REQ,EPECS,HICU,,,,Digital discrete command,,,,Aircraft-level propeller / spinner anti-ice request relayed by the HICU to the EPECS. The EPECS keeps authority and drives the heating element with its own hardwired command.,Yes,TBD,TBD
SIG-217,FCC 1 power supply,Power,Low Power,28V_FCC1,FCC-1,LVPDU-1,,,,28V,,,,,Yes,TBD,TBD
SIG-218,FCC 2 power supply,Power,Low Power,28V_FCC2,FCC-2,LVPDU-2,,,,28V,,,,,Yes,TBD,TBD
SIG-219,FCC 3 power supply,Power,Low Power,28V_FCC3,FCC-3,LVPDU-3,,,,28V,,,,,Yes,TBD,TBD
SIG-220,Step-up Converter Low Voltage Power,Power,Low Power,DCDC_UP_LV_POWER,DCDC_UP,LVPDU,,,,28V,,,,28 V feed from the LV network into the step-up converter.,Yes,TBD,TBD
SIG-221,HVPDU Step-up Power,Power,High Power,HVPDU_STEPUP_POWER_1,HVPDU-1,DCDC_UP-1,,,,800V,,,,"800 V output of the step-up converter into the nacelle HVPDU, providing a path to energise the HV network from the LV side. The name is qualified by the source because the HVPDU is also fed by the packs.",Yes,TBD,TBD
SIG-222,HVPDU Step-up Power,Power,High Power,HVPDU_STEPUP_POWER_2,HVPDU-2,DCDC_UP-2,,,,800V,,,,"800 V output of the step-up converter into the nacelle HVPDU, providing a path to energise the HV network from the LV side. The name is qualified by the source because the HVPDU is also fed by the packs.",Yes,TBD,TBD
SIG-223,HVPDU Step-up Power,Power,High Power,HVPDU_STEPUP_POWER_3,HVPDU-3,DCDC_UP-3,,,,800V,,,,"800 V output of the step-up converter into the nacelle HVPDU, providing a path to energise the HV network from the LV side. The name is qualified by the source because the HVPDU is also fed by the packs.",Yes,TBD,TBD
SIG-224,HVPDU Step-up Power,Power,High Power,HVPDU_STEPUP_POWER_4,HVPDU-4,DCDC_UP-1,,,,800V,,,,"800 V output of the step-up converter into the nacelle HVPDU, providing a path to energise the HV network from the LV side. The name is qualified by the source because the HVPDU is also fed by the packs.",Yes,TBD,TBD
SIG-225,LVPDU Power,Power,Low Power,LVPDU_POWER,LVPDU,DCDC_DN,,,,28V,,,,,TBD,TBD,TBD
SIG-226,LV Battery Power,Power,Low Power,LVBAT_POWER,LVPDU,LVBAT,,,,28V,,,,28 V link between the LV battery and the LVPDU. The nominal direction recorded is the battery feeding the LVPDU; charging uses the same physical link.,TBD,TBD,TBD
SIG-227,DCDC High Voltage Power,Power,High Power,HVPDU_POWER_1,DCDC_DN-1,HVPDU-1,,,,800V,,,,"800 V feed from the nacelle HVPDU into the step-down converter, which supplies the LVPDU at 28 V, completing the chain from the packs to the LV network.",TBD,TBD,TBD
SIG-228,DCDC High Voltage Power,Power,High Power,HVPDU_POWER_2,DCDC_DN-2,HVPDU-2,,,,800V,,,,"800 V feed from the nacelle HVPDU into the step-down converter, which supplies the LVPDU at 28 V, completing the chain from the packs to the LV network.",TBD,TBD,TBD
SIG-229,DCDC High Voltage Power,Power,High Power,HVPDU_POWER_3,DCDC_DN-3,HVPDU-3,,,,800V,,,,"800 V feed from the nacelle HVPDU into the step-down converter, which supplies the LVPDU at 28 V, completing the chain from the packs to the LV network.",TBD,TBD,TBD
SIG-230,DCDC High Voltage Power,Power,High Power,HVPDU_POWER_4,DCDC_DN-1,HVPDU-4,,,,800V,,,,"800 V feed from the nacelle HVPDU into the step-down converter, which supplies the LVPDU at 28 V, completing the chain from the packs to the LV network.",TBD,TBD,TBD
SIG-231,Electric Motor Controller High Voltage Power,Power,High Power,EMC_POWER,EMC,HVPDU,,,,800V,,,,800 V feed from the nacelle HVPDU to the motor controller. The feed current is measured at the HVPDU end.,TBD,TBD,TBD
SIG-232,IPTMS Power,Power,High Power,IPTMS_POWER,IPTMS,HVPDU,,,,800V,,,,800 V feed from the nacelle HVPDU to the IPTMS; included in the auxiliary feed current.,TBD,TBD,TBD
SIG-233,HVBAT Power,Power,High Power,BAT_POWER,HVPDU,PACK,,,,800V,,,,,TBD,TBD,TBD
